LOG  : General     , 1624014031732> reading C:\Users\Ofranti\Zomboid\debuglog.ini
DEBUG: General     , 1624014031791> LoggerManager.init                  > Initializing...
LOG  : General     , 1624014031841> cachedir set to "C:\Users\Ofranti\Zomboid"
LOG  : General     , 1624014031860> 18-06-2021 08:00:31
LOG  : General     , 1624014031860> cachedir is "C:\Users\Ofranti\Zomboid"
LOG  : General     , 1624014031861> LogFileDir is "C:\Users\Ofranti\Zomboid\Logs"
LOG  : General     , 1624014031861> ===== System specs =====
LOG  : General     , 1624014031862> OS: Windows 10, version: 10.0, arch: amd64
LOG  : General     , 1624014031863> Processor: Intel64 Family 6 Model 58 Stepping 9, GenuineIntel
LOG  : General     , 1624014031863> Processor cores: 4
LOG  : General     , 1624014031864> Available processors (cores): 4
LOG  : General     , 1624014031864> Memory free: 1745.4498 MB
LOG  : General     , 1624014031865> Memory max: 2014.75 MB
LOG  : General     , 1624014031865> Memory  total available to JVM: 1766.75 MB
LOG  : General     , 1624014031866> C:\, Total: 111.18848 GB, Free: 41.99703 GB
LOG  : General     , 1624014031870> D:\, Total: 0.0 GB, Free: 0.0 GB
LOG  : General     , 1624014031871> E:\, Total: 931.5117 GB, Free: 259.10483 GB
LOG  : General     , 1624014032834> Mobo = [Product=B75M-D3H]
LOG  : General     , 1624014033510> CPU = [Manufacturer=GenuineIntel,MaxClockSpeed=3201,Name=Intel(R) Core(TM) i5-3330 CPU @ 3.00GHz]
LOG  : General     , 1624014034221> Graphics = [AdapterRAM=4293918720,DriverVersion=27.21.14.6611,Name=NVIDIA GeForce GTX 1050 Ti]
LOG  : General     , 1624014034854> VideoMode = [VideoModeDescription=1920 x 1080 x 4294967296 cores]
LOG  : General     , 1624014035513> Sound = { [Manufacturer=NVIDIA,Name=NVIDIA High Definition Audio], [Manufacturer=NVIDIA,Name=NVIDIA Virtual Audio Device (Wave Extensible) (WDM)], [Manufacturer=Realtek,Name=Realtek High Definition Audio] }
LOG  : General     , 1624014036154> Memory RAM = { [Capacity=4294967296,Manufacturer=04CD], [Capacity=4294967296,Manufacturer=04CD] }
LOG  : General     , 1624014036154> ========================
LOG  : General     , 1624014036155> -- listing properties --
